title,wknd_dt,week,YT,Units,social_mentions,Tracker_index
BATTLEFIELD 1,2016-07-09,-15,325627,30076,140791,15.888976
BATTLEFIELD 1,2016-07-16,-14,256266,28549,101509,13.441645
BATTLEFIELD 1,2016-07-23,-13,214967,25411,66299,10.540242
BATTLEFIELD 1,2016-07-30,-12,201417,30261,53729,10.104944
BATTLEFIELD 1,2016-08-06,-11,389901,30966,60183,11.419409
BATTLEFIELD 1,2016-08-13,-10,514370,37429,73564,14.398976
BATTLEFIELD 1,2016-08-20,-9,2203730,45979,175540,26.036942
BATTLEFIELD 1,2016-08-27,-8,541856,59384,119453,23.897445
BATTLEFIELD 1,2016-09-03,-7,595398,89849,811965,116.195009
BATTLEFIELD 1,2016-09-10,-6,445969,85050,392286,52.507007
BATTLEFIELD 1,2016-09-17,-5,240206,56109,157481,17.29904
BATTLEFIELD 1,2016-09-24,-4,206114,58564,130293,15.176241
BATTLEFIELD 1,2016-10-01,-3,1833223,80636,167639,19.106506
BATTLEFIELD 1,2016-10-08,-2,566075,104989,134838,25.135539
BATTLEFIELD 1,2016-10-15,-1,421099,240435,272410,47.620143
BATTLEFIELD 1,2016-10-22,0,1034038,1678166,815667,124.772209
BATTLEFIELD 1,2016-10-29,1,603070,0,803935,78.721772
BATTLEFIELD 1,2016-11-05,2,388115,0,524646,49.16854
BATTLEFIELD 1,2016-11-12,3,285468,0,396470,36.129642
BATTLEFIELD 1,2016-11-19,4,232508,0,387154,34.744411
BATTLEFIELD 1,2016-11-26,5,269014,0,322486,44.070178
BATTLEFIELD 1,2016-12-03,6,203291,0,266525,33.636406
BATTLEFIELD 1,2016-12-10,7,195872,0,242387,27.848812
BATTLEFIELD 1,2016-12-17,8,210885,0,290256,30.797239
BATTLEFIELD 1,2016-12-24,9,186690,0,332778,27.565375
BATTLEFIELD 1,2016-12-31,10,185946,0,270439,31.156178
BATTLEFIELD 1,2017-01-07,11,127506,0,229321,19.579877
BATTLEFIELD HARDLINE,2014-12-06,-15,84367,2288,0,2.374712
BATTLEFIELD HARDLINE,2014-12-13,-14,61756,2721,0,2.326912
BATTLEFIELD HARDLINE,2014-12-20,-13,48594,4581,0,2.387309
BATTLEFIELD HARDLINE,2014-12-27,-12,189619,6411,0,2.734876
BATTLEFIELD HARDLINE,2015-01-03,-11,88660,9851,0,2.870209
BATTLEFIELD HARDLINE,2015-01-10,-10,62355,12148,0,3.077613
BATTLEFIELD HARDLINE,2015-01-17,-9,80634,20846,0,5.117144
BATTLEFIELD HARDLINE,2015-01-24,-8,108154,22366,0,6.9066090000000004
BATTLEFIELD HARDLINE,2015-01-31,-7,258611,26814,0,8.536574
BATTLEFIELD HARDLINE,2015-02-07,-6,320319,37920,0,35.153074
BATTLEFIELD HARDLINE,2015-02-14,-5,136395,44405,0,15.914378
BATTLEFIELD HARDLINE,2015-02-21,-4,45465,41413,0,6.209347
BATTLEFIELD HARDLINE,2015-02-28,-3,82722,55763,0,6.159443
BATTLEFIELD HARDLINE,2015-03-07,-2,131440,85727,0,8.84521
BATTLEFIELD HARDLINE,2015-03-14,-1,269932,276506,0,15.961006
BATTLEFIELD HARDLINE,2015-03-21,0,444834,930527,0,47.813873
BATTLEFIELD HARDLINE,2015-03-28,1,287998,0,0,26.033482
BATTLEFIELD HARDLINE,2015-04-04,2,167617,0,0,15.343607
BATTLEFIELD HARDLINE,2015-04-11,3,85466,0,0,9.870577
BATTLEFIELD HARDLINE,2015-04-18,4,37071,0,0,6.807374
BATTLEFIELD HARDLINE,2015-04-25,5,37691,0,0,5.778347
BATTLEFIELD HARDLINE,2015-05-02,6,23143,0,0,5.721312
BATTLEFIELD HARDLINE,2015-05-09,7,19296,0,0,4.550577
BATTLEFIELD HARDLINE,2015-05-16,8,18259,0,0,4.212412
BATTLEFIELD HARDLINE,2015-05-23,9,15447,0,0,4.100643
BATTLEFIELD HARDLINE,2015-05-30,10,113119,0,0,4.085914
BATTLEFIELD HARDLINE,2015-06-06,11,22342,0,0,3.527242
BATTLEFIELD V,2018-08-11,-15,4098,17696,55098,5.926747
BATTLEFIELD V,2018-08-18,-14,1036870,26830,141872,10.470975
BATTLEFIELD V,2018-08-25,-13,709839,34119,206577,12.639073
BATTLEFIELD V,2018-09-01,-12,202111,42284,188639,15.07424
BATTLEFIELD V,2018-09-08,-11,110039,135057,496301,43.941908
BATTLEFIELD V,2018-09-15,-10,59387,24701,269754,24.587275
BATTLEFIELD V,2018-09-22,-9,30862,13649,117377,8.193211
BATTLEFIELD V,2018-09-29,-8,21453,3891,96091,7.156345
BATTLEFIELD V,2018-10-06,-7,14109,12630,76830,7.634479
BATTLEFIELD V,2018-10-13,-6,12941,14620,76307,9.073108
BATTLEFIELD V,2018-10-20,-5,14162,16603,109864,11.244446
BATTLEFIELD V,2018-10-27,-4,11394,16415,110583,10.288374
BATTLEFIELD V,2018-11-03,-3,12156,24723,120348,12.634645
BATTLEFIELD V,2018-11-10,-2,15878,60589,177087,28.067946
BATTLEFIELD V,2018-11-17,-1,19573,119762,314656,44.157973
BATTLEFIELD V,2018-11-24,0,22325,569941,387444,54.449474
BATTLEFIELD V,2018-12-01,1,15265,0,265662,37.517775
BATTLEFIELD V,2018-12-08,2,12769,0,306588,32.496305
BATTLEFIELD V,2018-12-15,3,10363,0,208320,23.829647
BATTLEFIELD V,2018-12-22,4,9221,0,170869,20.236878
BATTLEFIELD V,2018-12-29,5,9786,0,122969,19.829976
BATTLEFIELD V,2019-01-05,6,7154,0,136390,13.774412
BATTLEFIELD V,2019-01-12,7,4319,0,127644,10.419272
BATTLEFIELD V,2019-01-19,8,4787,0,132244,10.901043
BATTLEFIELD V,2019-01-26,9,4047,0,123919,7.843743
BATTLEFIELD V,2019-02-02,10,3664,0,98219,7.740574
BATTLEFIELD V,2019-02-09,11,3568,0,95646,6.486446
FIFA 15,2014-06-14,-15,1597979,25451,0,14.218244
FIFA 15,2014-06-21,-14,201827,35003,0,7.112143
FIFA 15,2014-06-28,-13,169119,27164,0,7.505042
FIFA 15,2014-07-05,-12,437891,32777,0,8.90881
FIFA 15,2014-07-12,-11,237196,32127,0,9.483136
FIFA 15,2014-07-19,-10,526789,36300,0,12.026239
FIFA 15,2014-07-26,-9,405105,39753,0,12.191704
FIFA 15,2014-08-02,-8,581769,54749,0,13.357339
FIFA 15,2014-08-09,-7,1431334,67401,0,18.34181
FIFA 15,2014-08-16,-6,1301128,68051,0,22.758004
FIFA 15,2014-08-23,-5,490045,92093,0,23.723677
FIFA 15,2014-08-30,-4,298845,106170,0,24.691343
FIFA 15,2014-09-06,-3,963917,140969,0,36.394511
FIFA 15,2014-09-13,-2,1558198,180177,0,67.839073
FIFA 15,2014-09-20,-1,1032309,1248325,0,49.745374
FIFA 15,2014-09-27,0,706965,2578343,0,94.092813
FIFA 15,2014-10-04,1,359410,0,0,34.104809
FIFA 15,2014-10-11,2,393470,0,0,19.637576
FIFA 15,2014-10-18,3,383241,0,0,14.844213
FIFA 15,2014-10-25,4,380611,0,0,13.541543
FIFA 15,2014-11-01,5,374603,0,0,11.589784
FIFA 15,2014-11-08,6,238920,0,0,10.960811
FIFA 15,2014-11-15,7,587479,0,0,11.380449
FIFA 15,2014-11-22,8,562815,0,0,10.869541
FIFA 15,2014-11-29,9,432599,0,0,17.276046
FIFA 15,2014-12-06,10,556337,0,0,14.286976
FIFA 15,2014-12-13,11,435052,0,0,12.718811
FIFA 16,2015-06-13,-15,184788,2219,0,9.919049
FIFA 16,2015-06-20,-14,2174524,51405,0,21.314978
FIFA 16,2015-06-27,-13,318284,28604,0,11.341746
FIFA 16,2015-07-04,-12,787006,24161,0,10.174846
FIFA 16,2015-07-11,-11,255845,31080,0,12.535881
FIFA 16,2015-07-18,-10,526239,28110,0,11.483413
FIFA 16,2015-07-25,-9,776838,33192,0,14.046377
FIFA 16,2015-08-01,-8,251721,37376,0,13.008878
FIFA 16,2015-08-08,-7,1365027,58472,0,22.134539
FIFA 16,2015-08-15,-6,467876,67927,0,23.265311
FIFA 16,2015-08-22,-5,721656,88024,0,23.543872
FIFA 16,2015-08-29,-4,370925,102101,0,25.564509
FIFA 16,2015-09-05,-3,1150419,128691,0,42.535375
FIFA 16,2015-09-12,-2,1273415,181466,0,66.498911
FIFA 16,2015-09-19,-1,817530,272098,0,62.10524
FIFA 16,2015-09-26,0,366795,2973903,0,122.399677
FIFA 16,2015-10-03,1,195228,0,0,45.226214
FIFA 16,2015-10-10,2,147842,0,0,28.793977
FIFA 16,2015-10-17,3,73143,0,0,20.638543
FIFA 16,2015-10-24,4,38993,0,0,18.875375
FIFA 16,2015-10-31,5,35509,0,0,17.614215
FIFA 16,2015-11-07,6,31006,0,0,16.214712
FIFA 16,2015-11-14,7,25839,0,0,16.395441
FIFA 16,2015-11-21,8,25166,0,0,17.226444
FIFA 16,2015-11-28,9,53688,0,0,26.931509
FIFA 16,2015-12-05,10,42312,0,0,23.392611
FIFA 16,2015-12-12,11,34053,0,0,20.318244
FIFA 17,2016-06-18,-15,0,65021,408502,27.666209
FIFA 17,2016-06-25,-14,0,25612,89932,11.869108
FIFA 17,2016-07-02,-13,0,24932,129972,11.531342
FIFA 17,2016-07-09,-12,0,29931,305601,13.119445
FIFA 17,2016-07-16,-11,0,27107,206863,12.23914
FIFA 17,2016-07-23,-10,0,26080,198966,12.773713
FIFA 17,2016-07-30,-9,0,31649,85169,13.171845
FIFA 17,2016-08-06,-8,0,39280,97849,15.275379
FIFA 17,2016-08-13,-7,0,51098,115253,18.034072
FIFA 17,2016-08-20,-6,0,69740,381362,34.259769
FIFA 17,2016-08-27,-5,0,91432,222030,30.960807
FIFA 17,2016-09-03,-4,0,121153,364429,49.040074
FIFA 17,2016-09-10,-3,0,137457,260780,51.153439
FIFA 17,2016-09-17,-2,0,210319,607052,107.914808
FIFA 17,2016-09-24,-1,0,349843,602851,85.226075
FIFA 17,2016-10-01,0,0,2859946,1291633,140.377708
FIFA 17,2016-10-08,1,0,0,647745,51.285375
FIFA 17,2016-10-15,2,0,0,378719,39.621545
FIFA 17,2016-10-22,3,0,0,290292,29.828106
FIFA 17,2016-10-29,4,0,0,270274,23.282609
FIFA 17,2016-11-05,5,0,0,251094,19.868643
FIFA 17,2016-11-12,6,0,0,202322,18.73501
