Prod,Level,Customers,Exp_promo_convert,ARPU_Future,ARPU_promo,Revenue
X18 (not X19),<$40,178824.00,0.25,12.00,0.52,278965.44
X18 (not X19),$40-$99,38760.00,0.25,63.00,0.52,317444.40
X18 (not X19),$100-$999,36675.00,0.25,268.00,0.52,1277757.00
X18 (not X19),$1000+,3384.00,0.25,2082.00,0.52,915913.44
X19,<$40,162258.00,0.40,12.00,0.52,404995.97
X19,$40-$99,33347.00,0.40,64.00,0.52,443915.26
X19,$100-$999,34571.00,0.40,290.00,0.52,2085322.72
X19,$1000+,4808.00,0.40,2295.00,0.52,2295146.88
C3 (prev title pattern),,105319.00,1.00,2.35,0.52,128699.82
C3 (incremental - needs estimate),,1180792.00,0.40,2.35,0.52,577171.13
